name,source,family,expr,sign,nodes,zoo_overlap,ic_mean,pearson_ic,ic_t,ls_sharpe_ann,dsr,later_ic_mean,status
mom_12_1,hypothesis,trend,"Ref($close,20)/Ref($close,240)-1",1,9,3,0.031024415516950215,0.027187344873712955,3.2082241956595885,0.9074900150299072,0.1677704344154164,0.027204296938560895,probation
rev_5d,hypothesis,reversal,"$close/Ref($close,5)-1",-1,7,7,0.0343516416248221,0.021465853427410635,3.9599446203303654,0.48010122776031494,0.014267295565990015,0.0032571874297916306,rejected
rev_20d,hypothesis,reversal,"$close/Ref($close,20)-1",-1,7,7,0.03223440396512663,0.016978935393883145,3.3008372776651793,0.2768133580684662,0.0022789944538141606,0.013867769836611605,probation
low_vol_20d,hypothesis,volatility,"Std(($close/Ref($close,1)-1),20)",-1,9,7,0.025309869218512776,-0.000759428496013012,2.33712513417987,-0.17034299671649933,2.214482656795471e-05,0.06970112559735263,rejected
max_ret_20d,hypothesis,range,"Max(($close/Ref($close,1)-1),20)",-1,9,7,0.02842244060549363,0.007363958632016263,3.5252640585989132,-0.08545627444982529,6.331796307853671e-05,0.05806276244937418,rejected
abn_turnover,hypothesis,liquidity,"Mean($volume,20)/Mean($volume,120)",-1,7,3,0.024380076289972647,0.016701369700228914,3.395334857618507,0.5007257461547852,0.016063955561334105,0.029509697143113377,rejected
amihud_illiq,hypothesis,liquidity,"Mean(Abs(($close/Ref($close,1)-1))/($amount+1),20)",1,14,8,-5.9107056812917816e-05,-0.0024502357082064837,-0.11931487360860522,0.004913706798106432,0.00017178650760646546,0.001176029984787655,rejected
near_52w_high,hypothesis,range,"$close/Max($high,240)",1,5,3,0.01861631404916439,0.016757529785527334,1.735746491409871,0.4913487732410431,0.018872569935125108,0.03018222793610589,rejected
pv_corr_20d,hypothesis,price_volume,"Corr($close,Log($volume+1),20)",-1,7,7,0.04164283634660261,0.03080857178903184,6.534228476170513,1.5481163263320923,0.8107984470142933,0.023393329167748975,probation
vwap_gap,hypothesis,other,$close/$vwap-1,-1,5,1,0.024476745541492775,0.02492637974143987,3.095607067616792,0.8397819399833679,0.1278407319096022,-0.007659522669587159,probation
hl_range_20d,hypothesis,range,"Mean(($high-$low)/$close,20)",-1,7,3,0.029115777507389674,-0.0012250534075746694,2.6932623704820426,-0.1055864691734314,4.885992821622522e-05,0.07921563885380117,rejected
rnd_001,random,range,"Corr($close,$high,60)",1,4,1,0.0022307656829042974,0.006953450576437092,0.3581403717957104,0.38651522994041443,0.006375446698184261,-0.00521633326376783,rejected
rnd_002,random,price_volume,"Corr($close,Log($volume+1),5)",-1,7,7,0.034957163013749945,0.026226461456322497,4.93091922259543,1.0369551181793213,0.2648577213261223,0.014699064763617929,rejected
rnd_004,random,range,"Min($high,60)/(Min($high,10)+1e-12)-1",1,11,1,0.018382994448975207,-0.0005833820983332254,2.239143404401124,-0.02496422454714775,0.00012445120776116803,0.03937896927632135,rejected
rnd_005,random,price_volume,"Corr(Log($volume+1),$open,60)",-1,7,4,0.02976665910416854,0.0223504797707421,4.059399587810931,0.7258790135383606,0.0682682963058922,-0.011045695827670194,rejected
rnd_006,random,range,"Min($volume,60)/(Min($volume,40)+1e-12)-1",1,11,1,0.0007199498155304072,-0.0043635445244119405,0.19992475669763587,0.638882577419281,0.23646765706066863,0.022529437073711158,rejected
